time,x,y,Q,dist,pan,tilt
1770614085.1520092,133.8648,74.5553,1070.996,43,125,60
1770614085.152027,133.8648,74.5553,1070.996,43,145,60
1770614085.152043,133.8648,74.5553,1070.996,2,25,90
1770614085.1520572,133.8648,74.5553,1070.996,2,45,90
1770614085.1520715,133.8648,74.5553,1070.996,2,65,90
1770614085.152089,133.8648,74.5553,1070.996,2,85,90
1770614085.1521037,133.8648,74.5553,1070.996,42,105,90
1770614085.152118,133.8648,74.5553,1070.996,23,125,90
1770614085.152132,133.8648,74.5553,1070.996,17,145,90
1770614085.1521459,133.8648,74.5553,1070.996,7,25,120
1770614085.1521597,133.8648,74.5553,1070.996,2,45,120
1770614085.1521735,133.8648,74.5553,1070.996,3,65,120
1770614085.1521878,133.8648,74.5553,1070.996,4,85,120
1770614085.152202,133.8648,74.5553,1070.996,44,105,120
1770614085.1522157,133.8648,74.5553,1070.996,22,125,120
1770614085.1522298,133.8648,74.5553,1070.996,21,145,120
1770614093.8819702,125.5625,76.00391,1250.338,39,25,60
1770614093.882,125.5625,76.00391,1250.338,40,45,60
1770614093.8820155,125.5625,76.00391,1250.338,39,65,60
1770614093.88203,125.5625,76.00391,1250.338,39,85,60
1770614093.8820436,125.5625,76.00391,1250.338,60,105,60
1770614093.8820577,125.5625,76.00391,1250.338,200,125,60
1770614093.8820715,125.5625,76.00391,1250.338,16,145,60
1770614093.8820856,125.5625,76.00391,1250.338,24,25,90
1770614093.8820992,125.5625,76.00391,1250.338,37,45,90
1770614093.8821132,125.5625,76.00391,1250.338,21,65,90
1770614093.882127,125.5625,76.00391,1250.338,28,85,90
1770614093.8821409,125.5625,76.00391,1250.338,16,105,90
1770614093.882155,125.5625,76.00391,1250.338,58,125,90
1770614093.8821685,125.5625,76.00391,1250.338,6,145,90
1770614093.8821826,125.5625,76.00391,1250.338,24,25,120
1770614093.8821962,125.5625,76.00391,1250.338,45,45,120
1770614093.8822098,125.5625,76.00391,1250.338,21,65,120
1770614093.8822374,125.5625,76.00391,1250.338,22,85,120
1770614093.8822515,125.5625,76.00391,1250.338,23,105,120
1770614093.8822653,125.5625,76.00391,1250.338,19,125,120
1770614093.8822792,125.5625,76.00391,1250.338,6,145,120
1770614099.0788782,64.05497,86.73589,1250.338,37,25,60
1770614099.0789108,64.05497,86.73589,1250.338,38,45,60
1770614099.0789287,64.05497,86.73589,1250.338,37,65,60
1770614099.0789444,64.05497,86.73589,1250.338,37,85,60
1770614099.0789597,64.05497,86.73589,1250.338,76,105,60
1770614099.0789747,64.05497,86.73589,1250.338,16,125,60
1770614099.0789888,64.05497,86.73589,1250.338,16,145,60
1770614099.0790029,64.05497,86.73589,1250.338,24,25,90
1770614099.079017,64.05497,86.73589,1250.338,19,45,90
1770614099.0790312,64.05497,86.73589,1250.338,20,65,90
1770614099.079045,64.05497,86.73589,1250.338,37,85,90
1770614099.0790586,64.05497,86.73589,1250.338,17,105,90
1770614099.0790725,64.05497,86.73589,1250.338,18,125,90
1770614099.0790865,64.05497,86.73589,1250.338,6,145,90
